monthly,expiration,execution_date,last_trade_date,num_underlying
False,2012-02-24,2012-02-17,2012-02-24,14
False,2012-03-02,2012-02-24,2012-03-02,15
False,2012-03-09,2012-03-02,2012-03-09,16
True,2012-03-17,2012-03-09,2012-03-16,28
False,2012-03-23,2012-03-16,2012-03-23,15
False,2012-03-30,2012-03-23,2012-03-30,17
False,2012-04-05,2012-03-30,2012-04-05,16
False,2012-04-13,2012-04-05,2012-04-13,15
True,2012-04-21,2012-04-13,2012-04-20,26
False,2012-04-27,2012-04-20,2012-04-27,16
False,2012-05-04,2012-04-27,2012-05-04,16
False,2012-05-11,2012-05-04,2012-05-11,16
True,2012-05-19,2012-05-11,2012-05-18,28
False,2012-05-25,2012-05-18,2012-05-25,16
False,2012-06-01,2012-05-25,2012-06-01,16
False,2012-06-08,2012-06-01,2012-06-08,16
True,2012-06-16,2012-06-08,2012-06-15,30
False,2012-06-22,2012-06-15,2012-06-22,16
False,2012-06-29,2012-06-22,2012-06-29,16
False,2012-07-06,2012-06-29,2012-07-06,16
False,2012-07-13,2012-07-06,2012-07-13,15
True,2012-07-21,2012-07-13,2012-07-20,24
False,2012-07-27,2012-07-20,2012-07-27,15
False,2012-08-03,2012-07-27,2012-08-03,15
False,2012-08-10,2012-08-03,2012-08-10,16
True,2012-08-18,2012-08-10,2012-08-17,25
False,2012-08-24,2012-08-17,2012-08-24,17
False,2012-08-31,2012-08-24,2012-08-31,17
False,2012-09-07,2012-08-31,2012-09-07,17
False,2012-09-14,2012-09-07,2012-09-14,16
True,2012-09-22,2012-09-14,2012-09-21,29
False,2012-09-28,2012-09-21,2012-09-28,18
False,2012-10-05,2012-09-28,2012-10-05,18
False,2012-10-12,2012-10-05,2012-10-12,16
True,2012-10-20,2012-10-12,2012-10-19,25
False,2012-10-26,2012-10-19,2012-10-26,18
False,2012-11-02,2012-10-26,2012-11-02,18
False,2012-11-09,2012-11-02,2012-11-09,18
True,2012-11-17,2012-11-09,2012-11-16,30
False,2012-11-23,2012-11-16,2012-11-23,18
False,2012-11-30,2012-11-23,2012-11-30,17
False,2012-12-07,2012-11-30,2012-12-07,17
False,2012-12-14,2012-12-07,2012-12-14,17
True,2012-12-22,2012-12-14,2012-12-21,29
False,2012-12-28,2012-12-21,2012-12-28,18
False,2013-01-04,2012-12-28,2013-01-04,18
False,2013-01-11,2013-01-04,2013-01-11,18
True,2013-01-19,2013-01-11,2013-01-18,24
False,2013-01-25,2013-01-18,2013-01-25,17
False,2013-02-01,2013-01-25,2013-02-01,18
False,2013-02-08,2013-02-01,2013-02-08,18
True,2013-02-16,2013-02-08,2013-02-15,27
False,2013-02-22,2013-02-15,2013-02-22,18
False,2013-03-01,2013-02-22,2013-03-01,18
False,2013-03-08,2013-03-01,2013-03-08,18
True,2013-03-16,2013-03-08,2013-03-15,28
